iter	Logloss
0	0.6364596939
1	0.5758665771
2	0.528793129
3	0.4862183685
4	0.4531506882
5	0.4228236122
6	0.4002352982
7	0.3807751465
8	0.3631289597
9	0.3478345871
10	0.334753788
11	0.3236645813
12	0.3126078682
13	0.3038204956
14	0.2964967651
15	0.2900394135
16	0.2846052437
17	0.2793649712
18	0.2746489983
19	0.2695874977
20	0.2659335365
21	0.2623979034
22	0.2591604805
23	0.256656744
24	0.2543438892
25	0.2522166691
26	0.2503698406
27	0.2483796482
28	0.2466904678
29	0.245243866
30	0.2439570751
31	0.2422277966
32	0.2407439289
33	0.2393416519
34	0.2378362656
35	0.2366305275
36	0.2357185249
37	0.2349045486
38	0.2341694756
39	0.2332621689
40	0.2325148811
41	0.2320352478
42	0.231331356
43	0.2307291775
44	0.2299267807
45	0.2292523861
46	0.2286476231
47	0.2278778763
48	0.2273279228
49	0.2267636127
50	0.2260119877
51	0.2253887806
52	0.2250341816
53	0.2244780674
54	0.2239098511
55	0.2234805965
56	0.2230858288
57	0.2226850224
58	0.222261158
59	0.2218303547
60	0.2213529739
61	0.2210314083
62	0.2206260815
63	0.2202742996
64	0.219943409
65	0.2196755619
66	0.2192910862
67	0.2189153843
68	0.2185152245
69	0.2179975719
70	0.2177227535
71	0.2172813282
72	0.2170206738
73	0.2166417732
74	0.2164811707
75	0.2161324539
76	0.215739851
77	0.2154653778
78	0.2152304535
79	0.2149319916
80	0.2146047802
81	0.2144196949
82	0.2141762276
83	0.2138003826
84	0.2135835648
85	0.2132930298
86	0.2129296036
87	0.2127579327
88	0.2125773602
89	0.212315052
90	0.2120710258
91	0.2117891693
92	0.2116300182
93	0.2113272495
94	0.2110719452
95	0.2108223305
96	0.2105618401
97	0.2103015823
98	0.2101017799
99	0.2099538231
100	0.2097903004
101	0.2095495243
102	0.2092831573
103	0.2090191841
104	0.2088874378
105	0.2086166744
106	0.2083756599
107	0.2081346664
108	0.2079112682
109	0.2076518288
110	0.2074563065
111	0.2072546406
112	0.2070426388
113	0.206867878
114	0.2065342484
115	0.2064180679
116	0.2063188686
117	0.2060639935
118	0.2059258175
119	0.2057488136
120	0.2055575447
121	0.2052322407
122	0.2050368805
123	0.2048855152
124	0.2047466564
125	0.2045560932
126	0.2043318043
127	0.2041663437
128	0.2040447121
129	0.2038323421
130	0.2036541748
131	0.2034570808
132	0.2033108959
133	0.2031669521
134	0.2029875374
135	0.2027629433
136	0.2025919151
137	0.2024100533
138	0.202177599
139	0.2020628052
140	0.2018239899
141	0.201655611
142	0.2015114746
143	0.2014332275
144	0.2012965851
145	0.2011840191
146	0.2009957123
147	0.2008840714
148	0.2006970024
149	0.2004677944
150	0.2002846451
151	0.2001176395
152	0.1999602261
153	0.1997248707
154	0.1995366135
155	0.1993439884
156	0.1991381474
157	0.1989076061
158	0.1987665138
159	0.198551733
160	0.198348484
161	0.1981798019
162	0.1980344639
163	0.1977616634
164	0.1975744076
165	0.1974296093
166	0.1972597942
167	0.1971743279
168	0.1970710659
169	0.1969446678
170	0.1968186512
171	0.1966129551
172	0.1963984489
173	0.1962946529
174	0.1961685696
175	0.1960478764
176	0.1958631649
177	0.195776598
178	0.1956135445
179	0.1954365597
180	0.1952586098
181	0.1951477184
182	0.1949901104
183	0.1948062477
184	0.1946667709
185	0.1945123825
186	0.1944080601
187	0.1942405739
188	0.1940998077
189	0.1939435883
190	0.193787796
191	0.1936855297
192	0.1934918747
193	0.1933406944
194	0.1931844215
195	0.1930174465
196	0.1928374767
197	0.1926568069
198	0.1924855671
199	0.1922705288
