iter	Passed	Remaining
0	12	2462
1	23	2345
2	35	2321
3	47	2311
4	58	2292
5	72	2357
6	86	2378
7	104	2507
8	116	2481
9	129	2462
10	141	2427
11	154	2413
12	165	2386
13	176	2350
14	188	2327
15	200	2300
16	210	2269
17	221	2238
18	234	2238
19	246	2221
20	258	2205
21	270	2192
22	282	2176
23	294	2158
24	305	2135
25	317	2127
26	329	2108
27	340	2091
28	352	2077
29	363	2062
30	374	2043
31	385	2023
32	398	2016
33	411	2009
34	425	2006
35	440	2006
36	452	1992
37	464	1979
38	476	1967
39	490	1961
40	500	1942
41	512	1928
42	525	1917
43	536	1901
44	547	1884
45	558	1869
46	570	1855
47	580	1838
48	592	1824
49	603	1811
50	614	1794
51	625	1780
52	636	1766
53	648	1752
54	659	1738
55	671	1726
56	682	1712
57	694	1699
58	705	1685
59	715	1669
60	727	1658
61	743	1654
62	756	1645
63	771	1639
64	783	1626
65	794	1613
66	809	1607
67	822	1596
68	834	1584
69	848	1574
70	860	1564
71	873	1553
72	886	1541
73	896	1527
74	908	1513
75	920	1501
76	932	1490
77	943	1476
78	954	1461
79	966	1449
80	979	1439
81	990	1425
82	1002	1412
83	1015	1402
84	1026	1388
85	1037	1375
86	1049	1362
87	1060	1350
88	1071	1336
89	1083	1323
90	1095	1311
91	1105	1297
92	1116	1284
93	1128	1272
94	1139	1259
95	1151	1247
96	1162	1234
97	1174	1222
98	1185	1209
99	1195	1195
100	1205	1182
101	1218	1170
102	1230	1158
103	1242	1146
104	1253	1134
105	1266	1122
106	1279	1112
107	1295	1103
108	1309	1093
109	1322	1081
110	1336	1071
111	1348	1059
112	1359	1046
113	1369	1033
114	1381	1021
115	1393	1009
116	1405	997
117	1416	984
118	1429	972
119	1440	960
120	1451	947
121	1465	937
122	1477	924
123	1490	913
124	1502	901
125	1514	889
126	1525	876
127	1537	864
128	1548	852
129	1560	840
130	1571	827
131	1582	815
132	1593	802
133	1605	790
134	1615	777
135	1627	765
136	1639	753
137	1649	741
138	1661	729
139	1672	716
140	1683	704
141	1694	691
142	1705	679
143	1716	667
144	1728	655
145	1751	647
146	1765	636
147	1777	624
148	1790	613
149	1804	601
150	1815	589
151	1826	576
152	1838	564
153	1849	552
154	1860	540
155	1872	528
156	1884	516
157	1895	503
158	1907	491
159	1919	479
160	1930	467
161	1940	455
162	1951	443
163	1965	431
164	1975	419
165	1987	407
166	1999	395
167	2010	382
168	2020	370
169	2035	359
170	2047	347
171	2058	335
172	2070	323
173	2083	311
174	2093	299
175	2103	286
176	2114	274
177	2124	262
178	2136	250
179	2147	238
180	2158	226
181	2170	214
182	2181	202
183	2195	190
184	2210	179
185	2223	167
186	2237	155
187	2250	143
188	2260	131
189	2271	119
190	2283	107
191	2295	95
192	2305	83
193	2317	71
194	2329	59
195	2339	47
196	2349	35
197	2361	23
198	2373	11
199	2383	0
