Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_Utilization,Open_Accounts,Prev_Loan_Count,Prev_Loans_Repaid,Prev_Loan_Defaults,Avg_Prev_Loan_Amount,Repayment_Rate,Property_Area,Loan_Status
LP000001,Male,No,0,Graduate,No,7373,3619,597.0,360.0,811.0,22.5,7.0,0.0,0.0,0.0,0.0,0.0,Rural,Y
LP000002,Female,Yes,0,Not Graduate,Yes,20218,0,,360.0,629.0,49.4,2.0,1.0,1.0,0.0,500.0,1.0,Urban,N
LP000003,Male,Yes,0,Graduate,No,4187,0,160.0,360.0,837.0,59.2,5.0,2.0,2.0,0.0,,1.0,Semiurban,Y
LP000004,Male,No,0,Graduate,No,1200,0,140.0,360.0,808.0,27.2,4.0,,0.0,0.0,0.0,0.0,Semiurban,Y
LP000005,Male,Yes,0,Graduate,No,10458,0,187.0,,850.0,11.4,3.0,5.0,5.0,0.0,109.8,1.0,Rural,Y
LP000006,Male,No,0,Graduate,No,2141,0,226.0,360.0,620.0,62.3,4.0,5.0,3.0,2.0,73.2,0.6,Urban,N
LP000007,Male,No,0,Graduate,No,5862,0,452.0,360.0,670.0,57.9,4.0,1.0,1.0,0.0,87.2,1.0,Urban,N
LP000008,Female,Yes,0,Graduate,,6140,0,333.0,360.0,728.0,26.4,2.0,0.0,0.0,0.0,0.0,,Rural,Y
LP000009,Male,No,1,Graduate,No,4796,1436,312.0,360.0,642.0,66.8,5.0,3.0,2.0,1.0,224.7,0.67,Semiurban,N
LP000010,Male,Yes,0,Not Graduate,No,1236,0,24.0,360.0,799.0,31.2,5.0,1.0,1.0,0.0,37.4,1.0,Semiurban,Y
LP000011,Male,Yes,3+,Not Graduate,Yes,3576,0,129.0,180.0,568.0,34.2,3.0,4.0,2.0,2.0,77.3,0.5,Semiurban,N
LP000012,Female,Yes,1,Graduate,,1734,2650,285.0,360.0,753.0,35.2,4.0,0.0,0.0,0.0,0.0,0.0,Rural,Y
LP000013,Female,Yes,2,Graduate,No,5838,1622,776.0,84.0,781.0,24.3,4.0,4.0,4.0,0.0,274.6,1.0,Urban,Y
LP000014,Male,Yes,3+,Graduate,No,2614,0,259.0,360.0,747.0,52.1,3.0,2.0,2.0,0.0,94.6,1.0,Urban,Y
LP000015,Male,Yes,0,Graduate,No,1243,0,91.0,360.0,719.0,33.4,5.0,2.0,2.0,0.0,43.0,1.0,Urban,Y
LP000016,Male,No,0,Graduate,No,6815,0,301.0,360.0,808.0,40.2,4.0,0.0,0.0,0.0,0.0,0.0,Semiurban,Y
LP000017,Male,No,0,Graduate,,2078,0,115.0,360.0,791.0,41.3,6.0,2.0,2.0,0.0,120.8,1.0,Urban,Y
LP000018,Male,No,0,Graduate,No,4821,4635,160.0,480.0,695.0,50.3,4.0,0.0,0.0,0.0,0.0,0.0,Semiurban,N
