Record_ID,Person_ID,Loan_Type,Loan_Amount,Loan_Date,Loan_Term_Months,Status,Lender
REC000001,PER00001,Personal Loan,82,2014-04-08,36,Repaid,HDFC Bank
REC000002,PER00001,Education Loan,45,2024-10-28,84,Repaid,Tata Capital
REC000003,PER00002,Home Loan,134,2014-02-20,300,Repaid,Kotak Mahindra
REC000004,PER00002,Car Loan,79,2017-03-14,36,Repaid,IndusInd Bank
REC000005,PER00002,Education Loan,22,2013-06-18,48,Repaid,Canara Bank
REC000006,PER00003,Personal Loan,38,2017-10-25,48,Defaulted,Bajaj Finserv
REC000007,PER00003,Home Loan,411,2024-01-25,120,Active,IDBI Bank
REC000008,PER00005,Personal Loan,68,2021-08-22,36,Repaid,ICICI Bank
REC000009,PER00005,Home Loan,335,2023-03-01,360,Repaid,LIC Housing Finance
REC000010,PER00006,Car Loan,62,2013-04-05,60,Repaid,LIC Housing Finance
REC000011,PER00007,Home Loan,146,2014-06-28,300,Repaid,Axis Bank
REC000012,PER00007,Gold Loan,24,2021-09-07,12,Repaid,Union Bank
REC000013,PER00007,Personal Loan,36,2013-09-03,36,Repaid,PNB
REC000014,PER00007,Car Loan,37,2020-06-24,36,Repaid,Tata Capital
REC000015,PER00007,Consumer Durable Loan,4,2013-12-07,24,Active,PNB
REC000016,PER00008,Home Loan,215,2011-05-12,180,Active,Kotak Mahindra
REC000017,PER00008,Car Loan,40,2024-06-24,36,Defaulted,Bank of Baroda
REC000018,PER00009,Car Loan,46,2013-03-26,60,Active,Axis Bank
REC000019,PER00010,Home Loan,122,2016-10-03,300,Repaid,Yes Bank
REC000020,PER00010,Personal Loan,27,2010-02-01,48,Defaulted,Union Bank
REC000021,PER00011,Car Loan,65,2020-01-08,84,Active,Axis Bank
REC000022,PER00011,Car Loan,68,2018-02-14,48,Defaulted,ICICI Bank
REC000023,PER00011,Car Loan,51,2018-04-01,84,Repaid,PNB
REC000024,PER00011,Home Loan,354,2012-01-01,300,Defaulted,Bank of Baroda
REC000025,PER00011,Home Loan,125,2023-06-06,360,Defaulted,IndusInd Bank
REC000026,PER00012,Home Loan,189,2012-01-17,300,Active,Bajaj Finserv
REC000027,PER00013,Home Loan,68,2014-07-01,240,Repaid,Yes Bank
REC000028,PER00013,Personal Loan,16,2024-11-10,24,Defaulted,IndusInd Bank
REC000029,PER00013,Car Loan,95,2020-06-16,60,Defaulted,Kotak Mahindra
REC000030,PER00013,Personal Loan,49,2021-10-07,12,Defaulted,Axis Bank
REC000031,PER00013,Car Loan,30,2025-12-19,60,Repaid,HDFC Bank
REC000032,PER00013,Home Loan,142,2018-10-22,180,Active,SBI
REC000033,PER00013,Home Loan,188,2015-06-11,300,Defaulted,IndusInd Bank
REC000034,PER00014,Car Loan,59,2017-04-16,36,Active,Canara Bank
REC000035,PER00015,Personal Loan,30,2021-05-01,24,Active,LIC Housing Finance
REC000036,PER00016,Personal Loan,57,2022-07-03,48,Defaulted,ICICI Bank
REC000037,PER00016,Education Loan,55,2021-10-26,84,Active,Axis Bank
REC000038,PER00016,Home Loan,267,2023-05-23,180,Defaulted,PNB
REC000039,PER00017,Car Loan,139,2025-07-02,36,Active,Union Bank
REC000040,PER00017,Business Loan,152,2010-01-19,36,Active,ICICI Bank
REC000041,PER00017,Business Loan,319,2017-10-11,48,Repaid,IDBI Bank
REC000042,PER00018,Personal Loan,37,2012-09-07,48,Defaulted,HDFC Bank
REC000043,PER00018,Car Loan,63,2014-09-04,48,Repaid,IndusInd Bank
REC000044,PER00019,Car Loan,58,2021-01-23,36,Active,ICICI Bank
REC000045,PER00020,Home Loan,220,2024-04-19,180,Defaulted,PNB
REC000046,PER00020,Home Loan,170,2021-09-20,240,Repaid,PNB
REC000047,PER00021,Education Loan,103,2021-01-06,60,Repaid,IndusInd Bank
REC000048,PER00022,Business Loan,105,2015-04-17,12,Repaid,Axis Bank
REC000049,PER00023,Personal Loan,80,2022-02-28,24,Active,IndusInd Bank
REC000050,PER00024,Business Loan,263,2015-05-06,24,Repaid,Bajaj Finserv
REC000051,PER00024,Home Loan,187,2020-12-05,300,Repaid,Axis Bank
REC000052,PER00025,Car Loan,96,2020-12-10,84,Repaid,Bank of Baroda
REC000053,PER00025,Personal Loan,21,2021-05-08,24,Repaid,Canara Bank
REC000054,PER00026,Home Loan,217,2012-06-18,240,Active,LIC Housing Finance
REC000055,PER00026,Gold Loan,6,2017-01-22,12,Repaid,LIC Housing Finance
REC000056,PER00026,Home Loan,199,2014-10-25,240,Active,Bajaj Finserv
REC000057,PER00027,Car Loan,44,2014-05-05,48,Active,SBI
REC000058,PER00027,Home Loan,130,2022-04-01,120,Active,HDFC Bank
REC000059,PER00027,Personal Loan,20,2017-07-26,24,Defaulted,Bank of Baroda
REC000060,PER00027,Business Loan,173,2021-05-27,12,Defaulted,LIC Housing Finance
REC000061,PER00027,Home Loan,136,2024-05-21,180,Active,Kotak Mahindra
REC000062,PER00027,Home Loan,76,2020-03-02,300,Defaulted,SBI
REC000063,PER00027,Education Loan,92,2021-07-10,60,Defaulted,Bajaj Finserv
REC000064,PER00027,Home Loan,179,2021-04-24,360,Active,PNB
REC000065,PER00029,Business Loan,46,2020-02-26,36,Repaid,PNB
REC000066,PER00029,Personal Loan,28,2015-01-05,12,Repaid,Tata Capital
REC000067,PER00029,Personal Loan,31,2023-10-13,36,Repaid,Yes Bank
REC000068,PER00031,Gold Loan,17,2023-08-02,60,Repaid,Union Bank
REC000069,PER00031,Home Loan,122,2016-03-15,240,Repaid,Bajaj Finserv
REC000070,PER00031,Business Loan,39,2025-09-23,60,Repaid,Kotak Mahindra
REC000071,PER00031,Personal Loan,12,2016-06-26,48,Repaid,Bajaj Finserv
REC000072,PER00031,Car Loan,83,2022-02-15,84,Repaid,HDFC Bank
REC000073,PER00031,Car Loan,70,2017-01-12,60,Repaid,PNB
REC000074,PER00031,Personal Loan,57,2017-11-13,60,Active,PNB
REC000075,PER00032,Business Loan,101,2020-04-15,12,Repaid,Bank of Baroda
REC000076,PER00032,Car Loan,78,2018-02-15,60,Repaid,ICICI Bank
REC000077,PER00032,Business Loan,47,2013-01-12,12,Repaid,Bank of Baroda
REC000078,PER00032,Car Loan,70,2020-04-13,60,Repaid,Bank of Baroda
REC000079,PER00032,Personal Loan,23,2014-09-17,12,Repaid,IndusInd Bank
REC000080,PER00033,Two-Wheeler Loan,9,2018-02-12,36,Repaid,IndusInd Bank
REC000081,PER00033,Education Loan,33,2021-08-11,36,Active,IDBI Bank
REC000082,PER00033,Home Loan,220,2020-10-04,120,Active,Yes Bank
REC000083,PER00033,Car Loan,46,2017-07-08,48,Active,Bajaj Finserv
REC000084,PER00033,Personal Loan,33,2018-01-01,24,Defaulted,IndusInd Bank
REC000085,PER00033,Home Loan,419,2016-03-06,240,Defaulted,IndusInd Bank
REC000086,PER00034,Education Loan,139,2022-05-27,60,Repaid,Axis Bank
REC000087,PER00034,Car Loan,66,2010-06-06,36,Repaid,Axis Bank
REC000088,PER00034,Personal Loan,40,2013-08-15,60,Defaulted,Bajaj Finserv
REC000089,PER00035,Car Loan,93,2013-11-10,84,Defaulted,IndusInd Bank
REC000090,PER00035,Personal Loan,53,2019-08-18,12,Repaid,IndusInd Bank
REC000091,PER00035,Business Loan,31,2021-12-04,48,Active,PNB
REC000092,PER00037,Business Loan,93,2017-05-15,12,Active,Canara Bank
REC000093,PER00038,Gold Loan,6,2011-11-17,36,Repaid,Union Bank
REC000094,PER00038,Home Loan,94,2017-09-07,300,Repaid,IndusInd Bank
REC000095,PER00039,Home Loan,234,2022-08-17,120,Repaid,Tata Capital
REC000096,PER00040,Home Loan,136,2023-03-15,180,Repaid,IDBI Bank
REC000097,PER00040,Personal Loan,86,2013-01-08,60,Repaid,ICICI Bank
REC000098,PER00041,Consumer Durable Loan,15,2012-08-23,36,Defaulted,IndusInd Bank
REC000099,PER00041,Home Loan,61,2024-05-03,240,Defaulted,LIC Housing Finance
REC000100,PER00041,Education Loan,83,2025-04-20,36,Repaid,Tata Capital
REC000101,PER00042,Business Loan,234,2010-05-20,36,Repaid,HDFC Bank
REC000102,PER00042,Personal Loan,58,2016-12-20,60,Repaid,Tata Capital
REC000103,PER00042,Personal Loan,26,2019-06-12,12,Active,IndusInd Bank
REC000104,PER00043,Education Loan,30,2018-06-22,60,Repaid,Canara Bank
